,L3,Reporter,Partner,Reporter_Total_Imports,Partner_Total_Imports,Reporter_Total_Exports,Partner_Total_Exports,Ind1,Ind2,Ind3,Ind4
9370,V04,C643,C004,291495655.0,518670.0,16145550.18,32565.0,0.0,0.0,0.0,0.0
9497,O06,C643,C004,1931867533.0,5295626.0,507434975.08,214744.0,0.0,0.0,0.0,0.0
9624,V06,C643,C004,1909846021.0,1996509.0,192607951.54,87736.0,0.0,0.0,0.0,0.0
9901,000,C643,C008,231664135280.0,5602154545.0,438721611962.33,3183282093.69,0.0001,0.0003,0.0223,0.0051
10030,Z99,C643,C008,9074291104.0,1355487044.0,21576112887.53,16167412.12,0.0,0.0015,0.0244,0.0
10157,A01,C643,C008,214626393.0,22773147.0,66443790.0,930351.0,0.0,0.0,0.0,0.0
10284,A02,C643,C008,1588528463.0,42226873.0,1022198121.37,180998.0,0.0,0.0,0.0,0.0
10411,K01,C643,C008,2083147941.0,36792724.0,6953390406.0,140910750.0,0.0,0.0,0.0,0.0
10538,B01,C643,C008,526512884.0,6653912.0,54548593.0,96973.0,0.0,0.0,0.0,0.0
10665,B09,C643,C008,824365095.0,2935238.0,110078028.0,3791.0,0.0,0.0,0.0,0.0
10792,B02,C643,C008,1222225128.0,9747665.0,89879864.0,912495.0,0.0,0.0,0.0,0.0
10919,J02,C643,C008,808638376.0,2160294.0,230169199.49,9694987.0,0.0,0.0,0.0,0.0
11046,C09,C643,C008,780026580.0,8086299.0,67724115.07,59370602.0,0.0,0.0,0.0,0.0
11173,J01,C643,C008,1415260963.0,36754346.0,1031559537.0,21162860.0,0.0,0.0,0.0,0.0027
11300,C01,C643,C008,2070084740.0,48495345.0,835783884.87,96632806.52,0.0,0.0,0.0,0.0
11427,C02,C643,C008,5538905930.0,64439574.0,427710824.0,27571826.0,0.0,0.0,0.0,0.0
11554,D01,C643,C008,1037375827.0,31002940.0,257560842.0,467067.0,0.0,0.0,0.0,0.0
11681,D02,C643,C008,437764507.0,796688.0,100160900.0,113373.0,0.0,0.0,0.0,0.0
11808,E01,C643,C008,427535525.0,100946759.0,10446448979.05,178191.0,0.0,0.0036,0.3747,0.0
11935,F01,C643,C008,1528326260.0,1266208.0,1265417240.0,11592.0,0.0,0.0,0.0034,0.0
12062,F03,C643,C008,14797639.0,0.0,1052250.0,144883.0,0.0,0.0,0.0,0.0
12189,F02,C643,C008,1202037591.0,34212859.0,4337610692.19,547317.0,0.0,0.0,0.0,0.0
12316,F04,C643,C008,461186463.0,12997305.0,1463758984.0,1581766.0,0.0,0.0,0.0,0.0
12443,G00,C643,C008,314363615.0,28362364.0,540138964.38,131311.0,0.0,0.0092,0.1747,0.0
12570,D03,C643,C008,1221280632.0,24720905.0,811861832.63,475290.16,0.0,0.0,0.0,0.0
12697,E03,C643,C008,1943182563.0,117916616.0,1352066674.58,11037773.0,0.0,0.0,0.0,0.0
12824,H01,C643,C008,575826094.0,56119880.0,298944848.0,3494598.0,0.0,0.0,0.0,0.0
12951,H02,C643,C008,2516711527.0,37964919.0,440938768.53,4534621.0,0.0,0.0,0.0,0.0
13078,H03,C643,C008,836850354.0,2141611.0,514543818.0,3074498.0,0.0002,0.0,0.0,0.0613
13205,L02,C643,C008,2974918600.0,9923062.0,7904275773.21,153734159.0,0.0,0.0,0.0,0.0
13332,L01,C643,C008,639664167.0,51903494.0,65056897618.06,41235860.0,0.0,0.0,0.0,0.0
13459,N09,C643,C008,9899297202.0,215837616.0,2829868647.05,16109837.69,0.0,0.0,0.0,0.0
13586,M01,C643,C008,628439.0,0.0,95856396274.0,225926170.0,0.0,0.0,0.0,0.0
13713,M02,C643,C008,1036397182.0,244977500.0,57228401737.29,10984400.36,0.0,0.0006,0.14,0.0
13840,V09,C643,C008,2865447634.0,156352998.0,2280255763.5,146560125.98,0.0,0.0,0.0,0.0
13967,N01,C643,C008,3070078790.0,5221192.0,5164535132.43,1761748.0,0.0,0.0,0.0,0.0
14094,N02,C643,C008,3891161109.0,4608524.0,3042583394.87,907970.0,0.0,0.0,0.0,0.0
14221,N03,C643,C008,11433208082.0,200638304.0,1218712932.51,2349050.19,0.0,0.0,0.0,0.0
14348,L03,C643,C008,118906151.0,20900494.0,10265742057.73,478172.0,0.0,0.0008,0.381,0.0
14475,P09,C643,C008,4344324212.0,193943058.0,900441768.9,258893574.35,0.0,0.0,0.0,0.0001
14602,N04,C643,C008,8798653719.0,170325836.0,5350780458.26,28585814.48,0.0,0.0,0.0,0.0002
14729,R01,C643,C008,3615533652.0,39431548.0,3680440996.9,7369722.62,0.0,0.0,0.0023,0.0
14856,R03,C643,C008,523354785.0,100412657.0,106969652.63,13361868.0,0.0004,0.0,0.0,0.0168
14983,O01,C643,C008,662039613.0,61716597.0,11219226912.35,31756149.0,0.0,0.0,0.0084,0.0006
15110,O03,C643,C008,2761586561.0,105523014.0,4642123984.77,56584487.0,0.0001,0.0,0.0,0.0029
15237,P01,C643,C008,544068120.0,38592422.0,76147301.18,1538868.0,0.0,0.0,0.0,0.0
15364,I00,C643,C008,55055876.0,19721.0,3241309.0,0.0,0.0,0.0,0.0,0.0
15491,P03,C643,C008,1013975620.0,52565340.0,143385699.5,489294.0,0.0,0.0,0.0,0.0
15618,Q01,C643,C008,6316487622.0,201520848.0,413342171.36,571343881.38,0.0012,0.0,0.0,0.0136
15745,Q02,C643,C008,597026748.0,36053754.0,40526728.81,16658103.09,0.0,0.0,0.0,0.0018
15872,R05,C643,C008,2853334218.0,84899370.0,203479942.34,386138934.17,0.0027,0.0,0.0,0.0197
15999,L04,C643,C008,3033252691.0,123393166.0,6443785272.81,22952424.0,0.0,0.0001,0.0075,0.0001
16126,L05,C643,C008,3534015060.0,54421266.0,51203844927.08,149090672.0,0.0,0.0001,0.0962,0.0
16253,L06,C643,C008,8978140166.0,200305791.0,31811514694.43,267004042.51,0.0,0.0,0.0004,0.0
16380,S05,C643,C008,1861134103.0,44316865.0,780245100.55,3785803.0,0.0,0.0,0.0,0.0
16507,L07,C643,C008,3274204961.0,68029828.0,481127574.72,50957152.56,0.0,0.0,0.0,0.0
16634,S03,C643,C008,4094462579.0,13246723.0,2216437169.15,929640.25,0.0,0.0,0.0,0.0001
16761,S02,C643,C008,10975221129.0,81433078.0,1162442169.06,11344773.48,0.0,0.0,0.0,0.0
16888,S01,C643,C008,17363104360.0,152536111.0,1907950554.35,17760417.81,0.0,0.0,0.0,0.0001
17015,S04,C643,C008,8919036802.0,45142361.0,316312595.05,2118034.1,0.0,0.0,0.0,0.0
17142,T09,C643,C008,3508029040.0,20363657.0,732975774.69,2153434.34,0.0,0.0001,0.0019,0.0
17269,T01,C643,C008,4072733953.0,53058375.0,536700807.19,64567432.74,0.0,0.0,0.0,0.0
17396,T06,C643,C008,2833492717.0,36067673.0,332501994.84,240227.0,0.0,0.0,0.0,0.0
17523,T04,C643,C008,12272742257.0,70559098.0,801395764.25,11796621.0,0.0,0.0,0.0,0.0
17650,T03,C643,C008,1928198553.0,7777450.0,182553038.8,3845301.36,0.0,0.0,0.0,0.0
17777,T05,C643,C008,1137240658.0,23764105.0,423016724.68,173022.0,0.0,0.0,0.0,0.0
17904,T02,C643,C008,4243175343.0,85673954.0,886091156.95,119001680.12,0.0,0.0,0.0,0.0
18031,U01,C643,C008,2418328657.0,951592.0,1162097133.59,994412.0,0.0,0.0,0.0,0.0
18158,U09,C643,C008,852557732.0,5654903.0,65963488.75,4901282.0,0.0,0.0,0.0,0.0
18285,U02,C643,C008,17278393952.0,325905489.0,2515330751.51,19830544.89,0.0,0.0,0.0001,0.0
18412,V05,C643,C008,0.0,0.0,354692128.53,829655.0,0.0,0.0,0.0,0.0
18539,U03,C643,C008,289919132.0,5142007.0,34068578.0,62241.0,0.0,0.0,0.0,0.0
18666,U05,C643,C008,0.0,0.0,708634076.1,768541.0,0.0,0.0,0.0,0.0
18793,V01,C643,C008,700421782.0,5869425.0,277219260.38,466652.0,0.0,0.0,0.0,0.0
18920,V02,C643,C008,2733093330.0,12092903.0,548183703.37,4801850.58,0.0,0.0,0.0,0.0
19047,V03,C643,C008,4551026818.0,27996344.0,196458746.36,3902964.84,0.0,0.0,0.0,0.0
19174,V04,C643,C008,291495655.0,1903446.0,16145550.18,63452.0,0.0,0.0,0.0,0.0
19301,O06,C643,C008,1931867533.0,40093544.0,507434975.08,43376443.0,0.0,0.0,0.0,0.0001
19428,V06,C643,C008,1909846021.0,16086527.0,192607951.54,3367056.0,0.0,0.0,0.0,0.0086
19705,000,C643,C012,231664135280.0,46052990973.0,438721611962.33,33476818501.08,0.0,0.0028,0.0265,0.0003
19834,Z99,C643,C012,9074291104.0,274900472.0,21576112887.53,36471650.0,0.0,0.0,0.0001,0.0
19961,A01,C643,C012,214626393.0,108522857.0,66443790.0,24009.0,0.0,0.0,0.0,0.0
20088,A02,C643,C012,1588528463.0,194406679.0,1022198121.37,870070.0,0.0,0.0,0.0,0.0
20215,K01,C643,C012,2083147941.0,123741480.0,6953390406.0,40938222.0,0.0,0.0,0.0,0.0
20342,B01,C643,C012,526512884.0,1239534905.0,54548593.0,744656.84,0.0,0.0,0.0,0.0
20469,B09,C643,C012,824365095.0,54008667.0,110078028.0,314981.0,0.0,0.0,0.0,0.0
20596,B02,C643,C012,1222225128.0,111862082.0,89879864.0,162289.12,0.0,0.0,0.0,0.0
20723,J02,C643,C012,808638376.0,39776323.0,230169199.49,186553.0,0.0,0.0,0.0,0.0
20850,C09,C643,C012,780026580.0,52043045.0,67724115.07,418489.0,0.0,0.0047,0.0061,0.0
20977,J01,C643,C012,1415260963.0,178459207.0,1031559537.0,33446258.0,0.0002,0.0,0.0,0.0089
21104,C01,C643,C012,2070084740.0,502793490.0,835783884.87,6808409.94,0.0,0.0097,0.0161,0.0
21231,C02,C643,C012,5538905930.0,215274579.0,427710824.0,145394739.67,0.0014,0.0,0.0,0.0516
21358,D01,C643,C012,1037375827.0,345254995.0,257560842.0,177972.0,0.0,0.0,0.0,0.0
21485,D02,C643,C012,437764507.0,34618183.0,100160900.0,25169.0,0.0,0.0,0.0,0.0
21612,E01,C643,C012,427535525.0,2770450557.0,10446448979.05,9469122.0,0.0,0.0016,0.006,0.0
21739,F01,C643,C012,1528326260.0,121774750.0,1265417240.0,2327.0,0.0,0.0001,0.0006,0.0
21866,F03,C643,C012,14797639.0,140241.0,1052250.0,0.0,0.0,0.0,0.0,0.0
21993,F02,C643,C012,1202037591.0,764118202.0,4337610692.19,33032831.11,0.0,0.0561,0.3184,0.0
22120,F04,C643,C012,461186463.0,565111768.0,1463758984.0,1682834.56,0.0,0.0,0.0,0.0
22247,G00,C643,C012,314363615.0,1034270682.0,540138964.38,304861003.32,0.0,0.0,0.0,0.0
22374,D03,C643,C012,1221280632.0,82478613.0,811861832.63,6779594.79,0.0,0.0008,0.0078,0.0
22501,E03,C643,C012,1943182563.0,532068692.0,1352066674.58,18095799.97,0.0,0.0015,0.0039,0.0003
22628,H01,C643,C012,575826094.0,35853498.0,298944848.0,11738681.31,0.0,0.0,0.0,0.0
22755,H02,C643,C012,2516711527.0,69607350.0,440938768.53,404033.0,0.0,0.0003,0.0017,0.0
